policies-included-azure-content-safety	Azure Content Safety Policy
policies-included-basic-auth-ldap	Basic Authentication: LDAP
policies-included-basic-auth-simple	Basic Authentication: Simple
policies-included-bedrock-guardrails	Amazon Bedrock Guardrails Policy
policies-included-client-id-enforcement	Client ID Enforcement
policies-included-cors	Cross-Origin Resource Sharing (CORS)
policies-included-dataweave-body-transformation	DataWeave Body Transformation
policies-included-dataweave-headers-transformation	DataWeave Headers Transformation
policies-included-dataweave-request-filter	DataWeave Request Filter
policies-included-external-authorization	External Authorization Policy
policies-included-external-processing	External Processing
policies-included-graphql-introspection-control	GraphQL Introspection Control
policies-included-graphql-operation-limits	GraphQL Operation Limits
policies-included-graphql-schema-validation	GraphQL Schema Validation
policies-included-graphql-static-query-complexity	GraphQL Static Query Complexity
policies-included-header-injection	Header Injection Policy
policies-included-header-removal	Header Removal
policies-included-health-check	Health Check Policy
policies-included-http-caching	HTTP caching
policies-included-injection-protection	Injection Protection Policy
policies-included-ip-allowlist	IP Allowlist
policies-included-ip-blocklist	IP Blocklist
policies-included-json-threat-protection	JSON Threat Protection Policy
policies-included-jwt-validation	JWT Validation
policies-included-message-logging	Message Logging
policies-included-oauth-protected-resource-metadata	OAuth 2.0 Protected Resource Metadata
policies-included-oauth-token-introspection	OAuth 2.0 Token Introspection Policy
policies-included-openid-token-enforcement	OpenID Connect OAuth 2.0 Token Enforcement
policies-included-rate-limiting-sla	Rate-limiting SLA
policies-included-rate-limiting	Rate Limiting
policies-included-response-timeout	Response Timeout
policies-included-schema-validation	Schema Validation Policy
policies-included-soap-schema-validation	SOAP Schema Validation Policy
policies-included-spike-control	Spike Control
policies-included-stream-idle-timeout	Stream Idle Timeout
policies-included-tls-outbound	Transport Layer Security (TLS) - Outbound
policies-included-tls	Transport Layer Security (TLS) - Inbound
policies-included-tracing	Tracing
policies-included-traffic-management-route	Traffic Management for Multiple Upstream Services
policies-included-traffic-management	Traffic Management for Multiple Upstream Services (Weighted)
policies-included-websocket-connection-limit	WebSocket Connection Limit
policies-included-xml-threat-protection	XML Threat Protection Policy
policies-outbound-api-key	Credential Injection API Key
policies-outbound-aws-lambda	AWS Lambda
policies-outbound-aws-signature	AWS Request Signature
policies-outbound-basic-auth	Credential Injection Basic Authentication
policies-outbound-circuit-breaker	Circuit Breaker
policies-outbound-jwt-generation	Credential Injection JWT Generation
policies-outbound-message-logging	Outbound Message Logging
policies-outbound-oauth-obo	OAuth 2.0 OBO Credential Injection
policies-outbound-oauth	Credential Injection OAuth 2.0
policies-outbound-upstream-idle-timeout	Stream Idle Timeout
